id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch,roof_shape,roof_material,Image Quality,taxonomy,Image_filename
25_1,19.42854722,-99.15999722,Mexico,Mexico City,CR,LFINF,CDM,5,RES,BP2,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:5/RES/BP2,IMG_2804.jpg
17_1,19.421525,-99.16017778,Mexico,Mexico City,MUR,LWAL,CDN,2,RES,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/RES/BP2,IMG_2821.jpg
69_1,19.41211667,-99.15860833,Mexico,Mexico City,MR,LWAL,CDL,3,MIX,BP3,1985-1993,RSH1,RMN,Good,MR/LWAL+CDL/H:3/MIX/BP3,IMG_2874.jpg
16_1,19.42109167,-99.15998889,Mexico,Mexico City,MUR,LWAL,CDN,5,MIX,BP2,<1985,RSH4,RMT7,Good,MUR/LWAL+CDN/H:5/MIX/BP2,IMG_2824.jpg
72_1,19.43715,-99.20803056,Mexico,Mexico City,CR,LFINF,CDM,6.0-7.0,RES,BP3,1993-2004,RSH1,RMN,Good,CR/LFINF+CDM/H:6-7/RES/BP3,IMG_2967.jpg
43_1,19.42877778,-99.15563333,Mexico,Mexico City,MCF,LWAL,CDL,4,MIX,BP1,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:4/MIX/BP1,IMG_2787.jpg
63_1,19.411475,-99.16204722,Mexico,Mexico City,MUR,LWAL,CDL,2,RES,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDL/H:2/RES/BP3,IMG_2883.jpg
61_1,19.41118889,-99.16249167,Mexico,Mexico City,MUR,LWAL,CDN,2,MIX,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/MIX/BP2,IMG_2885.jpg
35_1,19.42936944,-99.15735556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,RES,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP2,IMG_2796.jpg
12_1,19.42161389,-99.16013333,Mexico,Mexico City,MCF,LWAL,CDM,4,MIX,BP2,1993-2004,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/MIX/BP2,IMG_2822.jpg
94_1,19.41519722,-99.15646389,Mexico,Mexico City,CR,LFM,CDM,6.0-7.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:6-7/RES/BP3,IMG_2851.jpg
85_1,19.43648333,-99.20833611,Mexico,Mexico City,CR,LFM,CDL,10.0-12.0,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:10-12/MIX/BP3,IMG_2962.jpg
23_1,19.4225,-99.16207778,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,EDU,BP3,<1985,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/EDU/BP3,IMG_2815.jpg
97_1,19.41795556,-99.15735,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,5,MIX,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:5/MIX/BP2,IMG_2837.jpg
83_1,19.41238611,-99.15577778,Mexico,Mexico City,CR,LWAL,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:4/RES/BP3,IMG_2869.jpg
36_1,19.42912778,-99.1586,Mexico,Mexico City,MCF,LWAL,CDL,2,MIX,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/MIX/BP3,IMG_2799.jpg
2_1,19.41812778,-99.15667778,Mexico,Mexico City,CR,LFINF,CDL,4,RES,BP3,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:4/RES/BP3,IMG_2834.jpg
53_1,19.437075,-99.20397222,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,OCO,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/OCO/BP3,IMG_2979.jpg
37_1,19.42918333,-99.15665556,Mexico,Mexico City,MUR,LWAL,CDN,3,OCO,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:3/OCO/BP3,IMG_2792.jpg
64_1,19.41202222,-99.15557778,Mexico,Mexico City,MUR,LWAL,CDL,3,RES,BP2,<1985,RSH1,RMT6,Good,MUR/LWAL+CDL/H:3/RES/BP2,IMG_2873.jpg
42_1,19.42927222,-99.15685278,Mexico,Mexico City,MUR,LWAL,CDN,3,RES,BP3,<1985,RSH4,RMT7,Good,MUR/LWAL+CDN/H:3/RES/BP3,IMG_2795.jpg
3_1,19.41748333,-99.15643333,Mexico,Mexico City,CR,LFINF,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:4/RES/BP3,IMG_2842.jpg
88_1,19.43777778,-99.20864167,Mexico,Mexico City,CR,LFM,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/RES/BP3,IMG_2955.jpg
21_1,19.42268889,-99.16226111,Mexico,Mexico City,CR,LO,CDM,13+,MIX,BP3,<1985,RSH1,RMN,Good,CR/LO+CDM/H:13+/MIX/BP3,IMG_2818.jpg
62_1,19.43671944,-99.20404167,Mexico,Mexico City,CR,LFM,CDM,10.0-12.0,RES,BP3,1993-2004,RSH1,RMN,Good,CR/LFM+CDM/H:10-12/RES/BP3,IMG_2973.jpg
44_1,19.42891111,-99.15568611,Mexico,Mexico City,CR,LFM,CDL,4,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/MIX/BP3,IMG_2788.jpg
77_1,19.41370278,-99.156075,Mexico,Mexico City,MCF,LWAL,CDL,3,RES,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:3/RES/BP2,IMG_2866.jpg
81_1,19.41372778,-99.15571667,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:4/RES/BP3,IMG_2865.jpg
14_1,19.41936111,-99.15891944,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,5,MIX,BP2,<1985,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:5/MIX/BP2,IMG_2826.jpg
20_1,19.42901667,-99.15893611,Mexico,Mexico City,MCF,LWAL,CDM,4,MIX,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/MIX/BP3,IMG_2801.jpg
95_1,19.41635,-99.15711944,Mexico,Mexico City,MUR,LWAL,CDL,3,RES,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDL/H:3/RES/BP3,IMG_2844.jpg
13_1,19.42107778,-99.15918611,Mexico,Mexico City,MCF,LWAL,CDM,3,RES,BP3,1993-2004,RSH1,RMN,Good,MCF/LWAL+CDM/H:3/RES/BP3,IMG_2825.jpg
41_1,19.42900278,-99.15656944,Mexico,Mexico City,CR,LFINF,CDL,5,RES,BP3,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:5/RES/BP3,IMG_2790.jpg
54_1,19.43759444,-99.20394167,Mexico,Mexico City,CR,LDUAL,CDM,5,RES,BP3,2004-2017,RSH1,RMN,Intermediate,CR/LDUAL+CDM/H:5/RES/BP3,IMG_2977.jpg
19_1,19.42240833,-99.1622,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,6.0-7.0,MIX,BP1,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:6-7/MIX/BP1,IMG_2817.jpg
26_1,19.42841944,-99.16009444,Mexico,Mexico City,CR,LWAL,CDM,6.0-7.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:6-7/RES/BP3,IMG_2805.jpg
152_1,19.42071667,-99.16674722,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,3,COM,BP3,1993-2004,RSH1,RMTO,Good,HYB(MCF;MUR)/LO+CDL/H:3/COM/BP3,IMG_2892.jpg
34_1,19.42396111,-99.16123333,Mexico,Mexico City,CR,LWAL,CDM,6.0-7.0,RES,BP2,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:6-7/RES/BP2,IMG_2814.jpg
79_1,19.41359167,-99.15654722,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:4/RES/BP3,IMG_2862.jpg
39_1,19.42869722,-99.1575,Mexico,Mexico City,MCF,LWAL,CDL,5,RES,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:5/RES/BP2,IMG_2797.jpg
